tau,f1,tp,fp,fn
0.001008471875512165,0.345679012345679,28,106,0
0.0010385979527148814,0.34782608695652173,28,105,0
0.0010541830276939008,0.35,28,104,0
0.001061886409067363,0.35220125786163525,28,103,0
0.0010810563921067765,0.35443037974683544,28,102,0
0.0011035679058960263,0.356687898089172,28,101,0
0.0011039412626822924,0.358974358974359,28,100,0
0.0011042844056530173,0.36129032258064514,28,99,0
0.001104361906193055,0.3636363636363636,28,98,0
0.0011046541671236138,0.36601307189542487,28,97,0
0.0011210903660718342,0.3684210526315789,28,96,0
0.0011990661816116731,0.3708609271523179,28,95,0
0.0012671168888494567,0.37333333333333335,28,94,0
0.0012716160310137622,0.3758389261744966,28,93,0
0.001337930163801869,0.37837837837837834,28,92,0
0.0013381208157542583,0.38095238095238093,28,91,0
0.0013692587177772562,0.3835616438356164,28,90,0
0.0014108512754155691,0.38620689655172413,28,89,0
0.0014734472752209694,0.3888888888888889,28,88,0
0.001478059162913607,0.39160839160839167,28,87,0
0.001495550529301502,0.3943661971830986,28,86,0
0.0015241445200394066,0.3971631205673759,28,85,0
0.0015560937505197361,0.4,28,84,0
0.0016953747479873528,0.40287769784172656,28,83,0
0.0018048001531985928,0.4057971014492754,28,82,0
0.0019545652449016256,0.40875912408759124,28,81,0
0.0020271365923077694,0.4117647058823529,28,80,0
0.0021678831165244795,0.41481481481481475,28,79,0
0.0023029495849417317,0.41791044776119407,28,78,0
0.0025180629229644524,0.4210526315789474,28,77,0
0.0026339975431352225,0.42424242424242425,28,76,0
0.00264225377059202,0.4274809160305344,28,75,0
0.0027359446548106026,0.43076923076923085,28,74,0
0.0028048343741469252,0.434108527131783,28,73,0
0.0028849282318850933,0.43750000000000006,28,72,0
0.0029983036697478396,0.4409448818897638,28,71,0
0.003053830194103092,0.4444444444444445,28,70,0
0.0030572117649366373,0.448,28,69,0
0.0032089410467424527,0.45161290322580644,28,68,0
0.0033467784450310727,0.4552845528455284,28,67,0
0.0033620068600137315,0.45901639344262296,28,66,0
0.0034076705635206687,0.4628099173553719,28,65,0
0.003609779310178789,0.4666666666666667,28,64,0
0.003825682496307934,0.47058823529411764,28,63,0
0.004009246927454915,0.4745762711864407,28,62,0
0.004309822668955697,0.47863247863247865,28,61,0
0.0043105111107403565,0.4827586206896552,28,60,0
0.004463573995376657,0.4869565217391304,28,59,0
0.005125249314769025,0.49122807017543857,28,58,0
0.005163529720029446,0.49557522123893805,28,57,0
0.005338222424732427,0.5,28,56,0
0.005409196642487629,0.5045045045045045,28,55,0
0.005587888968787904,0.5090909090909091,28,54,0
0.005602957764822737,0.5137614678899083,28,53,0
0.005721082844559674,0.5185185185185185,28,52,0
0.005736238929451094,0.5233644859813084,28,51,0
0.005880406917506573,0.5283018867924528,28,50,0
0.0061216248288428875,0.5333333333333333,28,49,0
0.006164240710765307,0.5384615384615384,28,48,0
0.006288258046836391,0.5436893203883496,28,47,0
0.0064397566702333806,0.5490196078431372,28,46,0
0.006479874707549896,0.5544554455445544,28,45,0
0.00648662055008941,0.56,28,44,0
0.006658821730781524,0.5656565656565656,28,43,0
0.006866663028747396,0.5714285714285715,28,42,0
0.006948305258525015,0.577319587628866,28,41,0
0.007497370595437076,0.5833333333333334,28,40,0
0.008245945956957202,0.5894736842105264,28,39,0
0.009048029647116658,0.5957446808510638,28,38,0
0.009405955727675278,0.6021505376344086,28,37,0
0.009696103881891929,0.6086956521739131,28,36,0
0.010165087938310334,0.6153846153846153,28,35,0
0.010899323170084107,0.6222222222222222,28,34,0
