tau,f1,tp,fp,fn
8.06611915883701e-05,0.1084070796460177,49,806,0
8.134135869457677e-05,0.10852713178294575,49,805,0
8.601351225655958e-05,0.10864745011086475,49,804,0
9.049568470214079e-05,0.109375,49,798,0
9.096426050993078e-05,0.10961968680089487,49,796,0
9.431373365539775e-05,0.11161731207289292,49,780,0
9.441987036367651e-05,0.11174458380843785,49,779,0
9.452604617261294e-05,0.11264367816091955,49,772,0
9.516549493399833e-05,0.11764705882352941,49,735,0
9.57229783002681e-05,0.11793020457280386,49,733,0
9.582911500854686e-05,0.11807228915662651,49,732,0
9.593529081748329e-05,0.11995104039167687,49,719,0
9.640769159433475e-05,0.13084112149532712,49,651,0
9.647887766826183e-05,0.13764044943820225,49,614,0
9.78169362392051e-05,0.13802816901408452,49,612,0
9.788812231313218e-05,0.16039279869067102,49,513,0
9.932003982072035e-05,0.16198347107438016,49,507,0
0.0001032148571706357,0.1627906976744186,49,504,0
0.00010451392091896765,0.16306156405990016,49,503,0
0.00010451792600656962,0.1636060100166945,49,501,0
0.00010462410181550605,0.16387959866220736,49,500,0
0.00010532918261797302,0.164983164983165,49,496,0
0.00010579813473368695,0.1658206429780034,49,493,0
0.00010650574723722782,0.16610169491525423,49,492,0
0.0001065769333111549,0.16666666666666669,49,490,0
0.00010830291185644024,0.16695059625212946,49,489,0
0.00010961740156463066,0.1675213675213675,49,487,0
0.00011355870994026997,0.1680960548885077,49,485,0
0.00011370772526940211,0.16838487972508592,49,484,0
0.00011385622242378225,0.16896551724137931,49,482,0
0.00011401360426285619,0.17073170731707318,49,476,0
0.00011501151747761715,0.17132867132867133,49,474,0
0.00011563260179464749,0.17162872154115588,49,473,0
0.00011658838147090256,0.17192982456140352,49,472,0
0.00011880050841508975,0.17223198594024602,49,471,0
0.00011969728165863369,0.17283950617283952,49,469,0
0.0001201576107671867,0.17314487632508835,49,468,0
0.00012119433705604905,0.17345132743362834,49,467,0
0.00012124753439334499,0.1756272401433692,49,460,0
0.00012296019057574613,0.17625899280575538,49,458,0
0.00012525901692003524,0.17689530685920576,49,456,0
0.00012648467677252312,0.17915904936014626,49,449,0
0.00012705740459953153,0.17948717948717946,49,448,0
0.0001272999384715285,0.17981651376146787,49,447,0
0.00012893716886489456,0.1801470588235294,49,446,0
0.0001296418654018239,0.18047882136279925,49,445,0
0.00012975243056389995,0.18081180811808117,49,444,0
0.00012993117048201803,0.18114602587800369,49,443,0
0.00013024023770082848,0.1814814814814815,49,442,0
0.0001303464135097649,0.1821561338289963,49,440,0
0.00013066533957911187,0.18386491557223264,49,435,0
0.00013250360654419206,0.1842105263157895,49,434,0
